"AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
742577,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=742577","Plumularia mooreana","Schuchert, 2013","accepted",NA,220,"Species",742577,"Plumularia mooreana","Schuchert, 2013",117196,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Plumulariidae","Plumularia","Schuchert, P. (2024). World Hydrozoa Database. Plumularia mooreana Schuchert, 2013. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=742577 on 2024-04-07","urn:lsid:marinespecies.org:taxname:742577",1,0,0,0,0,"like","2013-10-11T06:29:25.350Z"
137119,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137119","Physeter macrocephalus","Linnaeus, 1758","accepted",NA,220,"Species",137119,"Physeter macrocephalus","Linnaeus, 1758",137032,"Animalia","Chordata","Mammalia","Cetartiodactyla","Physeteridae","Physeter","Fordyce, E.; Perrin, W.F. (2024). World Cetacea Database. Physeter macrocephalus Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137119 on 2024-04-07","urn:lsid:marinespecies.org:taxname:137119",1,NA,NA,0,NA,"like","2009-01-06T23:07:05.240Z"
137113,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137113","Kogia breviceps","(de Blainville, 1838)","accepted",NA,220,"Species",137113,"Kogia breviceps","(de Blainville, 1838)",159024,"Animalia","Chordata","Mammalia","Cetartiodactyla","Kogiidae","Kogia","Fordyce, E.; Perrin, W.F. (2024). World Cetacea Database. Kogia breviceps (de Blainville, 1838). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137113 on 2024-04-07","urn:lsid:marinespecies.org:taxname:137113",1,0,0,0,NA,"like","2008-08-20T11:25:36.853Z"
137102,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137102","Orcinus orca","(Linnaeus, 1758)","accepted",NA,220,"Species",137102,"Orcinus orca","(Linnaeus, 1758)",137021,"Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Orcinus","Fordyce, E.; Perrin, W.F. (2024). World Cetacea Database. Orcinus orca (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137102 on 2024-04-07","urn:lsid:marinespecies.org:taxname:137102",1,NA,NA,0,NA,"like","2008-08-20T11:25:36.853Z"
218985,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=218985","Halichoeres hortulanus","(Lacepède, 1801)","accepted",NA,220,"Species",218985,"Halichoeres hortulanus","(Lacepède, 1801)",158813,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Halichoeres","Froese, R. and D. Pauly. Editors. (2024). FishBase. Halichoeres hortulanus (Lacepède, 1801). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=218985 on 2024-04-07","urn:lsid:marinespecies.org:taxname:218985",1,0,0,0,NA,"like","2008-01-15T17:27:08.177Z"
213377,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=213377","Echinothrix calamaris","(Pallas, 1774)","accepted",NA,220,"Species",213377,"Echinothrix calamaris","(Pallas, 1774)",179636,"Animalia","Echinodermata","Echinoidea","Diadematoida","Diadematidae","Echinothrix","Kroh, A.; Mooi, R. (2024). World Echinoidea Database. Echinothrix calamaris (Pallas, 1774). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=213377 on 2024-04-07","urn:lsid:marinespecies.org:taxname:213377",1,0,0,0,0,"like","2013-08-26T18:24:18.240Z"
413041,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=413041","Thalasseus bergii","(Lichtenstein, 1823)","unaccepted",NA,220,"Species",212606,"Sterna bergii","Lichtenstein, 1823",413038,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","WoRMS (2024). Thalasseus bergii (Lichtenstein, 1823). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=413041 on 2024-04-07","urn:lsid:marinespecies.org:taxname:413041",1,NA,NA,1,NA,"like","2011-04-08T06:18:06.150Z"
218475,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=218475","Lutjanus fulvus","(Forster, 1801)","accepted",NA,220,"Species",218475,"Lutjanus fulvus","(Forster, 1801)",159791,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Lutjanus fulvus (Forster, 1801). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=218475 on 2024-04-07","urn:lsid:marinespecies.org:taxname:218475",1,1,1,0,NA,"like","2008-01-15T17:27:08.177Z"
426364,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=426364","Conus aristophanes","G. B. Sowerby II, 1857","accepted",NA,220,"Species",426364,"Conus aristophanes","G. B. Sowerby II, 1857",137813,"Animalia","Mollusca","Gastropoda","Neogastropoda","Conidae","Conus","MolluscaBase eds. (2024). MolluscaBase. Conus aristophanes G. B. Sowerby II, 1857. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=426364 on 2024-04-07","urn:lsid:marinespecies.org:taxname:426364",1,NA,NA,0,NA,"like","2011-08-07T16:09:30.313Z"
220515,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=220515","Calliactis polypus","(Forsskål, 1775)","accepted",NA,220,"Species",220515,"Calliactis polypus","(Forsskål, 1775)",100754,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Hormathiidae","Calliactis","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Calliactis polypus (Forsskål, 1775). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=220515 on 2024-04-07","urn:lsid:marinespecies.org:taxname:220515",1,NA,NA,0,NA,"like","2015-10-13T10:34:41.473Z"
