"species","habitat_taxref","pf"
"Plumularia mooreana",1,"P"
"Physeter macrocephalus albicans",1,"A"
"Kogia breviceps",1,"P"
"Orcinus orca capensis",1,"P"
"Caridina rapaensis",2,"E"
"Caridina tupaia",2,"P"
"Caridina marquesensis",2,"E"
"Halichoeres hortulanus centiquadrus",1,"P"
"Echinothrix calamaris",1,"P"
"Thalasseus bergii",5,"P"
"Lutjanus fulvus",1,"P"
"Zosterops lateralis",3,"I"
"Conus aristophanes",1,"P"
"Calliactis polypus",1,"P"
"Palpada vinetorum",3,"I"
"Stethojulis bandanensis",1,"P"
"Zebrasoma veliferum",1,"P"
"Eretmochelys imbricata bissa",5,"P"
"Anous stolidus",5,"P"
"Onychoprion fuscatus",5,"P"
"Homalodisca vitripennis",3,"J"
"Pseudobalistes flavimarginatus",1,"P"
"Acanthurus triostegus polyzona",1,NA
"Culcita novaeguineae",1,"P"
"Bothus pantherinus",1,"P"
"Herpolitha limax",1,"P"
"Conus auratinus",1,"P"
"Aetobatus ocellatus",1,"P"
"Parupeneus multifasciatus",1,"P"
"Conus chaldaeus",1,"P"
"Paracirrhites forsteri",1,"P"
"Aulostomus chinensis",1,"P"
"Turbo bruneus",1,NA
"Porites rus",1,"P"
"Echidna nebulosa",1,"P"
"Gnatholepis anjerensis",1,"P"
"Caranx sexfasciatus",1,"P"
"Negaprion acutidens",1,"P"
"Emoia cyanura",3,"P"
"Coenobita spinosus",3,"P"
"Acanthurus nigricans",1,"P"
"Sceliphron laetum",3,"I"
"Grammistes sexlineatus",1,"P"
"Culex quinquefasciatus",8,"P"
"Abudefduf sexfasciatus",1,"P"
"Metasesarma obesum",1,"P"
"Kuhlia mugil",4,"P"
"Acanthurus lineatus",1,"P"
"Lepidodactylus lugubris",3,"P"
"Estrilda astrild",7,"I"
"Chaetodon vagabundus pictus",1,"P"
"Holothuria hilla",1,"P"
"Pluvialis fulva",5,"P"
"Lonchura castaneothorax",3,"I"
"Nesofregetta fuliginosa",5,"P"
"Pycnonotus cafer",3,"J"
"Sula sula sula",5,NA
"Centropyge flavissima",1,"P"
"Heniochus chrysostomus",1,"P"
"Thalassoma quinquevittatum",1,"P"
"Gardineroseris planulata",1,"P"
"Rhinecanthus aculeatus aculeatus",1,"P"
"Chromodoris lochi",1,"P"
"Naso vlamingii",1,"P"
"Chaetodon auriga",1,"P"
"Goniobranchus vibratus",1,"D"
"Pateobatis fai",1,"P"
"Cephalopholis argus",1,"P"
"Dascyllus trimaculatus",1,"P"
"Chaetodon ulietensis",1,"P"
"Plagiotremus tapeinosoma",1,"P"
"Acridotheres tristis",3,"J"
"Heniochus monoceros",1,"P"
"Canthigaster valentini",1,"P"
"Cyclomorpha flava",3,"E"
"Scarus globiceps",1,"P"
"Gloripallium pallium",1,"P"
"Lambis truncata",1,"P"
"Heteractis magnifica",1,"P"
"Tridacna maxima",1,"P"
"Paracirrhites arcatus",1,"P"
"Coenobita rugosus",3,"P"
"Gymnothorax pictus",1,"P"
"Dardanus megistos",1,"P"
"Epibulus insidiator",1,"P"
"Chromis viridis",1,"P"
"Circus approximans approximans",3,"J"
"Gallus gallus",3,"I"
"Geopelia striata",3,"I"
"Monotaxis grandoculis",1,"P"
"Labroides bicolor",1,"P"
"Thalassoma hardwickei",1,"P"
"Thelenota ananas",1,"P"
"Labroides dimidiatus",1,"P"
"Arothron stellatus",1,"P"
"Lucilina nigropunctata",1,NA
"Stegastes nigricans",1,"P"
"Dascyllus aruanus",1,NA
"Thalassoma amblycephalum",1,"P"
"Carcharhinus melanopterus",1,"P"
"Chaetodon unimaculatus",1,"P"
"Anguilla marmorata",4,"P"
"Conus leopardus",1,"P"
"Pterois antennata",1,"P"
"Halichoeres claudia",1,"P"
"Ptilinopus purpuratus frater",3,"E"
"Pterois volitans",1,"P"
"Conus coronatus",1,"P"
"Coenobita perlatus var. affinis",3,"P"
"Brissus latecarinatus",1,"P"
"Gymnodoris inornata",1,"P"
"Janthina janthina",1,"P"
"Odonus niger",1,"P"
"Pygoplites diacanthus",1,"P"
"Canis lupus familiaris",3,"I"
"Coryphellina exoptata",1,"P"
"Fusigobius neophytus",1,"P"
"Neoptychodes trilineatus",3,"I"
"Cryptoblepharus poecilopleurus",3,"P"
"Bohadschia argus",1,"P"
"Chlorurus spilurus",1,"P"
"Coris aygula",1,"P"
"Kuhlia marginata",4,"P"
"Mulloidichthys flavolineatus",1,"P"
"Conus sponsalis",1,"P"
"Lutjanus monostigma",1,"P"
"Gnatholepis cauerensis",1,"P"
"Canthigaster janthinoptera",1,"P"
"Xylocopa sonorina",3,"I"
"Euglandina rosea",3,"J"
"Angaria delphinus f. formosa",1,NA
"Thelacantha brevispina",3,"P"
"Egretta sacra",3,"P"
"Macrobrachium latimanus",2,"P"
"Chaetodon ephippium",1,"P"
"Conus pulicarius",1,"P"
"Gymnothorax javanicus",1,"P"
"Valenciennea strigata arcusbranchiae",1,"P"
"Pomachromis fuscidorsalis",1,"P"
"Chaetodon reticulatus",1,"P"
"Lutjanus gibbus",1,"P"
"Dascyllus flavicaudus",1,"P"
"Forcipiger longirostris",1,"P"
"Chaetodon citrinellus",1,"P"
"Zebrasoma scopas",1,"P"
"Procelsterna cerulea",5,"P"
"Fistularia commersonii",1,"P"
"Pomacanthus imperator",1,"P"
"Tropidomantis kawaharai",3,"P"
"Abudefduf sordidus",1,"P"
"Cheilinus trilobatus",1,"P"
"Cirripectes quagga",1,"P"
"Palapedia integra",1,NA
"Plectroglyphidodon johnstonianus",1,"P"
"Haliotrema aurigae",1,NA
"Leiuranus semicinctus",1,"P"
"Actinopyga varians",1,"P"
"Pseudocheilinus tetrataenia",1,"P"
"Acanthurus nubilus",1,"P"
"Chromis bami",1,"P"
"Anarchias seychellensis",1,"P"
"Solitariopagurus triprobolus",1,"P"
"Caloptilia deltanthes",3,"E"
"Enchelyurus ater",1,"P"
"Rhinecanthus rectangulus",1,"P"
"Gonionida profunda",1,"P"
"Conus tulipa",1,"P"
"Trimmatom nanus",1,"P"
"Entomacrodus macrospilus",1,"E"
"Sunagocia otaitensis",1,"P"
"Enchelynassa canina",1,"P"
"Chaetodon falcula",1,NA
"Scorpaenopsis possi",1,"P"
"Ophiopeza spinosa",1,"P"
"Ophiomastix elegans",1,"P"
"Diaphus phillipsi",1,NA
"Scorpaenodes kelloggi",1,"P"
"Acanthurus achilles",1,"P"
"Sargocentron punctatissimum",1,"P"
"Alionematichthys piger",1,"P"
"Priolepis semidoliata",1,"P"
"Ctenochaetus flavicauda",1,"P"
"Eviota deminuta",1,"E"
"Schismorhynchus labialis",1,"P"
"Aniculus aniculus",1,"P"
"Haumea minuta",1,"P"
"Entomacrodus thalassinus",1,"P"
"Conus distans",1,"P"
"Dardanus lagopodes",1,"P"
"Callogobius sclateri",1,"P"
"Pocillopora grandis",1,"P"
"Priolepis triops",1,"P"
"Ischnura aurora",8,"P"
"Paraleptuca crassipes",1,"P"
"Dascyllus strasburgi",1,"E"
"Trimmatom eviotops",1,"P"
"Medusablennius chani",1,"E"
"Pristiapogon kallopterus",1,"P"
"Acanthurus leucopareius",1,"P"
"Micrognathus andersonii",1,"P"
"Pseudocheilinus ocellatus",1,"P"
"Acropora cytherea",1,"P"
"Grapsus albolineatus",1,NA
"Kaupichthys diodontus",1,"P"
"Priolepis nocturna",1,"P"
"Chaetodon trifascialis",1,"P"
"Hemigymnus fasciatus",1,"P"
"Norfolkia thomasi",1,"P"
"Ostorhinchus relativus",1,"E"
"Rhinoclavis (Rhinoclavis) articulata",1,"P"
"Scarus frenatus",1,"P"
"Gymnothorax eurostus",1,"P"
"Pantala flavescens",8,"P"
"Cantherhines dumerilii",1,"P"
"Plectroglyphidodon leucozonus leucozonus",1,"P"
"Pseudogramma polyacantha",1,"P"
"Synodus binotatus",1,"P"
"Echinometra mathaei",1,"P"
"Apogon lativittatus",1,"P"
"Stegastes albifasciatus",1,"P"
"Ophiocoma scolopendrina",1,"P"
"Coris marquesensis",1,"E"
"Gymnothorax fimbriatus",1,"P"
"Acanthurus reversus",1,"E"
"Cheilinus oxycephalus",1,"P"
"Trapezia serenei",1,"P"
"Priolepis compita",1,"P"
"Stegastes fasciolatus",1,"D"
"Spratelloides gracilis",1,"P"
"Myripristis berndti",1,"P"
"Lepidozygus tapeinosoma",1,"P"
"Ostorhinchus apogonoides",1,"P"
"Pseudocheilinus octotaenia",1,"P"
"Cirrhitichthys oxycephalus",1,"P"
"Amblygobius phalaena",1,"P"
"Trimma woutsi",1,"E"
"Pleurosicya labiata",1,"P"
"Chlorodiella nigra",1,"P"
"Plectranthias nanus",1,"P"
"Zosimus aeneus",1,"P"
"Mauritia maculifera",1,"P"
"Trioza significans",3,"E"
"Enneapterygius williamsi",1,"P"
"Aporops bilinearis",1,"P"
"Enneapterygius rhabdotus",1,"P"
"Etisus splendidus",1,"P"
"Anaciaeschna jaspidea",8,"P"
"Cephalopholis urodeta",1,"P"
"Seriola rivoliana",1,"P"
"Eviota disrupta",1,"P"
"Ophioconis cincta",1,"P"
"Myripristis pralinia",1,"P"
"Plectroglyphidodon phoenixensis",1,"P"
"Kuhlia malo",4,"E"
"Scolecenchelys macroptera",1,"P"
"Sebastapistes mauritiana",1,"P"
"Ecsenius midas",1,"P"
"Synodus dermatogenys",1,"P"
"Chlorodiella cytherea",1,"P"
"Kaupichthys brachychirus",1,"P"
"Chrysiptera galba",1,"S"
"Gymnothorax flavimarginatus",1,"P"
"Pseudamiops gracilicauda",1,"P"
"Pseudolabrus fuentesi",1,"P"
"Naso unicornis",1,"P"
"Gymnothorax pindae",1,"P"
"Pavona maldivensis",1,"P"
"Cavoportunus dubius",1,"P"
"Centropyge loriculus",1,"P"
"Ostorhinchus nigrofasciatus",1,"P"
"Nectamia savayensis",1,"P"
"Stanulus talboti",1,"P"
"Pseudocheilinus hexataenia",1,"P"
"Cryptopecten bernardi",1,"P"
"Trachinotus baillonii",1,"P"
"Variola louti",1,"P"
"Littoraria intermedia",1,"P"
"Stethojulis marquesensis",1,"E"
"Diadema savignyi",1,"P"
"Oxycheilinus unifasciatus",1,"P"
"Canthigaster rapaensis",1,"E"
"Lutjanus kasmira",1,"P"
"Lophozozymus bertonciniae",1,"P"
"Architectonica perspectiva",1,"P"
"Enneapterygius randalli",1,"E"
"Myripristis violacea",1,"P"
"Apogon crassiceps",1,"P"
"Ostracion whitleyi",1,"P"
"Doryrhamphus excisus",1,"P"
"Gonomyia tonnoirella",3,"E"
"Scorpaenodes quadrispinosus",1,"P"
"Conus encaustus",1,"P"
"Monetaria obvelata",1,"P"
"Pseudanthias hiva",1,"E"
"Eriphia sebana hawaiiensis",1,"P"
"Oncopagurus oimos",1,"E"
"Callionymus simplicicornis",1,"P"
"Cantherhines longicaudus",1,"P"
"Neocirrhites armatus",1,"P"
"Hyporhamphus affinis",1,"P"
"Sargocentron microstoma",1,"P"
"Uropterygius alboguttatus",1,"P"
"Calcinus laevimanus",1,"P"
"Priacanthus hamrur",1,"P"
"Amblycirrhitus unimacula",1,"P"
"Genicanthus watanabei",1,"P"
"Amanses scopas",1,"P"
"Myripristis adusta",1,"P"
"Euryhaliotrema annulocirrus",1,NA
"Sebastapistes tinkhami",1,"P"
"Parupeneus insularis",1,"P"
"Chaetodon lunula",1,"P"
"Astropecten polyacanthus var. burbonica",1,NA
"Conus imperialis",1,"P"
"Naria helvola",1,"P"
"Gymnothorax melatremus",1,"P"
"Calcinus elegans",1,"P"
"Cirripectes variolosus",1,"P"
"Parascorpaena mcadamsi",1,"P"
"Cantherhines sandwichiensis",1,"P"
"Entomacrodus sealei",1,"P"
"Naso lituratus",1,"P"
"Cirrhilabrus scottorum",1,"P"
"Ophiothrix trilineata",1,"P"
"Pegea confoederata",1,NA
"Vanderhorstia ornatissima",1,"P"
"Gymnothorax buroensis",1,"P"
"Crystallodytes enderburyensis",1,"P"
"Antennatus nummifer",1,"P"
"Chaetodon quadrimaculatus",1,"P"
"Eviota distigma",1,"P"
"Epinephelus fasciatus",1,"P"
"Chromis agilis",1,"P"
